PLACA,Grupo,Modelo Original frota,Modelo Padrão,Modelo Simplificado,Ano,Idade
TBQ1G10,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
TBQ1G12,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
TAX6J56,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO ,FIAT FIORINO ,2025,0.0
TBQ1G08,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
SER6J18,Leve,CRONOS DRIVE 1.0 6V FLEX,FIAT CRONOS,FIAT CRONOS,2023,2.0
BEB5D93,Leve,VOYAGE 1.6 MSI FLEX 8V 4P,VW VOYAGE,VW VOYAGE,2021,4.0
SDT8J77,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDW2G50,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2024,2.0
TAN3H91,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2024,2.0
SFE4B63,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2024,2.0
SES1H28,Leve,CRONOS DRIVE 1.0 6V FLEX,VW GOL 1 0,VW GOL ,2023,2.0
TBW9G12,Caminhão12Ton,26-260 CONSTELLATION 6X2 2P (DIESEL)(E6),VOLVO VM 290,CAMINHÃO TRUCK ,2024,1.0
SDT4A76,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2022,4.0
SDT4B61,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2022,4.0
SDT4B56,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2022,4.0
SFI6G50,Leve,VIRTUS TSI 1.0 FLEX 12V 4P AUT.,VW VIRTUS,VW VIRTUS,2024,1.0
SFA8J05,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO,2023,3.0
RHF1B93,Leve,UNO DRIVE 1.0 FLEX 6V 5P,FIAT UNO,FIAT UNO ,2021,4.0
TBZ6H92,Leve,SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.,MB SPRINTER ,MB SPRINTER ,2024,1.0
SFN4F71,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2024,2.0
SFK0F56,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2024,2.0
SFN1H57,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2024,2.0
SFN1H25,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2024,2.0
UAV5J69,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2025,1.0
UAV5J71,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2025,1.0
UAV5J73,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2025,1.0
UAV5J75,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2025,1.0
SFL2F19,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2024,2.0
SEG5A93,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO,2023,3.0
UBA9H32,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,1.0
UBA9H34,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,1.0
UBC1A56,Pesado,SPRINTER 517 F. EXT. L.P.T.A. DIE. (E6),MB SPRINTER,MB SPRINTER,2025,0.0
SFD5C38,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA,2024,2.0
SFJ4D49,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA,2025,1.0
UBF1G83,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
UBF1G84,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
UBF1G86,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
SEP3C30,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2023,2.0
UBD1I77,Pesado,TRANSIT FURGÃO 2.0 LONGO,FORD TRANSIT,FORD TRANSIT,2025,1.0
SFG3J52,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO,2023,3.0
SEP3C43,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2023,2.0
UBD6I31,Pesado,TRANSIT FURGÃO 2.0 LONGO,FORD TRANSIT,FORD TRANSIT,2025,
UBF1G63,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
UBF1G85,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
UBF1G87,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
UBH2J70,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
SEP8G07,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2023,2.0
SFC4I42,Leve,ARGO 1.0 6V FLEX.,FIAT ARGO,FIAT ARGO,2023,2.0
SFH5H88,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2023,2.0
SFI8F53,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V ,VW SAVEIRO ,VW SAVEIRO ,2024,1.0
SFG4I63,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO ,FIAT FIORINO ,2024,1.0
SFI7I21,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO ,FIAT FIORINO ,2024,1.0
SFG5J27,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA,2025,1.0
